time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain,Snow
2020-03-01 00:00,2.0284,0,293.25,96.435,1.342,0,0
2020-03-01 01:00,1.4413,0,293.3,96.56,1.3755,0,0
2020-03-01 02:00,0.9762,9.32,297.05,96.85,1.3979,0,0
2020-03-01 03:00,4.4708,170.405,309.95,97.475,0.9729,0,0
2020-03-01 04:00,11.4058,463.535,280.4,61.005,2.8293,0,0
2020-03-01 05:00,14.5635,676.185,273.45,36.12,4.5291,0,0
2020-03-01 06:00,16.2945,824.795,280.35,29.04,4.5067,0,0
2020-03-01 07:00,17.1487,898.66,286.2,26.87,4.0482,0,0
2020-03-01 08:00,18.2779,895.585,291.55,25.2,3.7127,0,0
2020-03-01 09:00,19.0923,824.075,294.85,24.4,4.3725,0,0
2020-03-01 10:00,19.7817,425.135,296.35,22.955,3.1312,0,0
2020-03-01 11:00,20.0455,213.145,300.15,24.615,2.8069,0,0
2020-03-01 12:00,19.8158,144.345,302.1,26.775,4.2831,0,0
2020-03-01 13:00,18.6648,17.925,300.05,32.68,4.1489,0,0
2020-03-01 14:00,16.1366,0,308.5,37.205,3.3549,0,0
2020-03-01 15:00,14.5414,0,316.65,40.135,1.7669,0,0
2020-03-01 16:00,13.8477,0,324.6,48.065,1.6886,0,0
2020-03-01 17:00,13.2654,0,312.95,53.855,1.6215,0,0
2020-03-01 18:00,11.1495,0,290.85,60.68,0.8946,0,0
2020-03-01 19:00,9.051,0,293.65,74.4,0.8611,0,0
2020-03-01 20:00,8.5283,0,310.15,75.49,0.917,0,0
2020-03-01 21:00,8.3513,0,336.5,80.385,0.7381,0,0
2020-03-01 22:00,8.9401,0.02,348.15,81.905,0.8835,0,0
2020-03-01 23:00,9.3464,0,348.7,82.79,0.9505,0,0
2020-03-02 00:00,9.3704,0,348.45,85.115,1.04,0,0
2020-03-02 01:00,9.761,0,349.55,86.055,1.0512,0,0
2020-03-02 02:00,10.4509,12.16,357.9,87.045,1.0065,0,0
2020-03-02 03:00,13.0843,109.775,353.85,80.95,1.6551,0,0
2020-03-02 04:00,15.9217,407.485,328.6,68.69,4.1377,0,0
2020-03-02 05:00,19.4547,677.42,332.55,56.945,7.3807,0,0
2020-03-02 06:00,20.9303,711.435,349.7,50.905,8.5885,0,0
2020-03-02 07:00,22.0445,737.14,365.5,47.19,8.7115,0,0
2020-03-02 08:00,22.435,606.285,378.9,46.93,0,0,0
2020-03-02 09:00,23.1136,528.955,379.05,44.385,0,0,0
2020-03-02 10:00,23.3482,275.165,396.25,42.07,0,0,0
2020-03-02 11:00,23.1979,155.115,396.05,43.325,0,0,0
2020-03-02 12:00,23.321,159.555,364.35,44.185,0,0,0
2020-03-02 13:00,21.6006,27.81,381.6,53.21,0,0,0
2020-03-02 14:00,19.3869,0,403,64.14,0,0,0
2020-03-02 15:00,18.1018,0,371.4,72.85,0,0,0
2020-03-02 16:00,16.0644,0,349.75,81.495,0,0,0
2020-03-02 17:00,14.872,0,340.7,88.8,0,0,0
2020-03-02 18:00,14.0073,0,352,91.565,0.6933,0,0
2020-03-02 19:00,14.8031,1.155,395.1,90.91,0.7045,0,0
2020-03-02 20:00,15.987,1,399.1,84.225,0.8499,0,0
2020-03-02 21:00,17.7183,0.53,402.2,72.31,2.5497,0,0
2020-03-02 22:00,17.9149,0,372.25,70.98,4.5291,0,0
2020-03-02 23:00,17.4002,0,394.45,74.705,2.4491,0,0
2020-03-03 00:00,16.8951,0,367.3,78.52,1.7557,0,0
2020-03-03 01:00,15.7057,0,338.9,84.5,0.7604,0,0
2020-03-03 02:00,15.1003,26.645,339.35,89.795,0.7381,0,0
2020-03-03 03:00,17.7013,185.07,348.6,77.7,2.382,0,0
